task_id	hash	native_id	name	status	exit	submit	start	complete	duration	realtime	cpus	time	memory	%cpu	peak_rss	peak_vmem	rchar	wchar
67	d6/863f3c	5047783.pbs	NFCORE_CUTANDRUN:CUTANDRUN:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (S_1_R2)	COMPLETED	0	2022-01-26 13:21:52.414	2022-01-26 13:22:26.947	2022-01-26 13:22:56.803	1m 4s	29s	2	4h	12 GB	98.9%	21.5 MB	29 MB	2.2 GB	3.1 MB
72	4c/bee16a	5047786.pbs	NFCORE_CUTANDRUN:CUTANDRUN:EXPORT_META_CTRL	COMPLETED	0	2022-01-26 13:22:27.119	2022-01-26 13:23:11.804	2022-01-26 13:23:11.812	44.7s	11ms	2	4h	12 GB	18.6%	0	0	99 KB	1.1 KB
73	1d/9a7fd2	5047788.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEDUP_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (S_1_R2)	COMPLETED	0	2022-01-26 13:22:51.956	2022-01-26 13:23:32.049	2022-01-26 13:23:36.823	44.9s	0ms	1	3d	96 GB	29.4%	3.4 MB	7.2 MB	3.3 MB	10.1 KB
78	50/124acf	5047793.pbs	NFCORE_CUTANDRUN:CUTANDRUN:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (S_1_R2)	COMPLETED	0	2022-01-26 13:22:57.013	2022-01-26 13:23:32.098	2022-01-26 13:23:37.042	40s	0ms	1	3d	96 GB	38.4%	4.8 MB	11.7 MB	3.3 MB	10.1 KB
76	e3/2b8d0a	5047790.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEDUP_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (S_1_R2)	COMPLETED	0	2022-01-26 13:22:52.133	2022-01-26 13:23:37.004	2022-01-26 13:24:26.803	1m 35s	44s	2	4h	12 GB	99.2%	6 MB	11.8 MB	2.2 GB	5.2 KB
77	de/c2238c	5047794.pbs	NFCORE_CUTANDRUN:CUTANDRUN:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (S_1_R2)	COMPLETED	0	2022-01-26 13:22:57.122	2022-01-26 13:23:51.827	2022-01-26 13:24:26.833	1m 30s	31s	2	4h	12 GB	98.3%	6.4 MB	11.8 MB	2.2 GB	5.2 KB
75	ee/7dc53c	5047789.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEDUP_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (S_1_R2)	COMPLETED	0	2022-01-26 13:22:52.046	2022-01-26 13:23:32.062	2022-01-26 13:25:31.809	2m 40s	1m 57s	2	4h	12 GB	99.2%	8.3 MB	14.4 MB	2.2 GB	116 KB
79	cc/ce1fdc	5047792.pbs	NFCORE_CUTANDRUN:CUTANDRUN:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (S_1_R2)	COMPLETED	0	2022-01-26 13:22:56.932	2022-01-26 13:23:51.804	2022-01-26 13:25:46.817	2m 50s	1m 52s	2	4h	12 GB	99.3%	8.1 MB	14.4 MB	2.2 GB	116 KB
74	bf/9c821c	5047791.pbs	NFCORE_CUTANDRUN:CUTANDRUN:SAMTOOLS_CUSTOMVIEW (S_1_R2)	COMPLETED	0	2022-01-26 13:22:52.212	2022-01-26 13:23:32.078	2022-01-26 13:26:21.809	3m 30s	2m 48s	1	3d	96 GB	170.0%	1.3 GB	1.3 GB	14.6 GB	12.4 GB
71	1d/b4a83a	5047785.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CALCULATE_FRAGMENTS:SAMTOOLS_VIEW (S_1_R2)	COMPLETED	0	2022-01-26 13:22:27.037	2022-01-26 13:24:36.807	2022-01-26 13:29:03.396	6m 36s	4m 21s	6	8h	36 GB	99.3%	7.1 MB	13.3 MB	2.2 GB	2 GB
